CFSLGR_DataFile,,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,,
íËäi,100,100,,2,2,2,,,0.276826389
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,,
3.2225,0.05,-0.02,0.32,0.006,0.002,-0.002,,,
3.2233,0.04,-0.01,0.38,0.007,0.001,-0.002,,,
3.2242,0.03,0.03,0.4,0.004,0.002,-0.001,,,
3.225,0.06,0.12,0.4,0.001,0.003,-0.002,,,
3.2258,0.11,0.11,0.57,0.001,0.006,-0.002,,,
3.2267,0.14,0.14,0.74,0,0.007,-0.003,,,
3.2275,0.19,0.2,0.75,-0.003,0.008,-0.002,,,
3.2283,0.19,0.34,0.55,-0.004,0.007,-0.002,,,
3.2292,0.22,0.42,0.2,-0.002,0.007,-0.004,,,
3.23,0.21,0.35,0.19,0.009,0.002,-0.006,,,
3.2308,0.17,0.21,0.38,0.018,-0.001,-0.005,,,
3.2317,0.18,0.22,0.34,0.025,-0.003,-0.007,,,
3.2325,0.18,0.15,0.28,0.035,-0.007,-0.006,,,
3.2333,0.14,0.12,0.28,0.047,-0.014,-0.007,,,
3.2342,0.02,0.08,0.16,0.059,-0.023,-0.006,,,
3.235,-0.06,-0.02,0.1,0.074,-0.033,-0.008,,,
3.2358,-0.09,-0.2,0.22,0.091,-0.039,-0.008,,,
3.2367,-0.18,-0.38,0.16,0.108,-0.052,-0.007,,,
3.2375,-0.33,-0.46,0,0.119,-0.054,-0.006,,,
3.2383,-0.32,-0.44,0.26,0.13,-0.065,-0.007,,,
3.2392,-0.28,-0.52,0.25,0.144,-0.072,-0.005,,,
3.24,-0.34,-0.49,0.07,0.149,-0.077,-0.005,,,
3.2408,-0.39,-0.54,0.14,0.161,-0.078,-0.005,,,
3.2417,-0.32,-0.58,0.24,0.167,-0.079,-0.005,,,
3.2425,-0.3,-0.59,0.27,0.175,-0.081,-0.004,,,
3.2433,-0.31,-0.55,0.24,0.176,-0.081,-0.003,,,
3.2442,-0.28,-0.52,0.31,0.181,-0.079,-0.004,,,
3.245,-0.25,-0.44,0.22,0.178,-0.078,-0.002,,,
3.2458,-0.24,-0.38,0.08,0.181,-0.077,-0.004,,,
3.2467,-0.17,-0.44,0.31,0.181,-0.077,-0.003,,,
3.2475,-0.13,-0.47,0.39,0.187,-0.076,-0.005,,,
3.2483,-0.16,-0.51,0.54,0.186,-0.074,-0.003,,,
3.2492,-0.13,-0.5,0.64,0.185,-0.074,-0.005,,,
3.25,-0.14,-0.49,0.73,0.185,-0.073,-0.003,,,
3.2508,-0.17,-0.45,0.68,0.182,-0.071,-0.003,,,
3.2517,-0.14,-0.37,0.6,0.175,-0.07,-0.003,,,
3.2525,-0.18,-0.41,0.57,0.172,-0.071,-0.003,,,
3.2533,-0.17,-0.47,0.41,0.169,-0.068,-0.003,,,
3.2542,-0.12,-0.38,0.21,0.159,-0.064,-0.004,,,
3.255,-0.16,-0.46,0.3,0.157,-0.065,-0.002,,,
3.2558,-0.16,-0.52,0.43,0.152,-0.067,-0.001,,,
3.2567,-0.24,-0.51,0.4,0.145,-0.064,-0.002,,,
3.2575,-0.21,-0.4,0.46,0.133,-0.059,-0.002,,,
3.2583,-0.21,-0.39,0.68,0.124,-0.057,-0.001,,,
3.2592,-0.27,-0.33,0.73,0.115,-0.055,0,,,
3.26,-0.21,-0.22,0.62,0.1,-0.048,-0.002,,,
3.2608,-0.14,-0.16,0.5,0.086,-0.04,0,,,
3.2617,-0.08,-0.05,0.42,0.069,-0.034,-0.001,,,
3.2625,-0.09,-0.01,0.31,0.056,-0.031,0,,,
3.2633,-0.02,0.06,0.4,0.041,-0.024,-0.001,,,
3.2642,-0.03,0.05,0.6,0.031,-0.02,-0.001,,,
3.265,-0.07,0.15,0.67,0.016,-0.014,-0.002,,,
3.2658,-0.07,0.2,0.65,0.005,-0.009,-0.001,,,
3.2667,0,0.3,0.77,-0.005,-0.003,-0.002,,,
3.2675,0.01,0.31,0.75,-0.008,-0.002,0,,,
3.2683,0.03,0.29,0.71,-0.008,-0.002,-0.001,,,
3.2692,0.06,0.16,0.71,-0.004,-0.002,0,,,
3.27,0.05,0.19,0.69,-0.006,0,-0.003,,,
3.2708,0.06,0.22,0.58,-0.007,0,-0.001,,,
3.2717,0.05,0.25,0.47,-0.007,0.001,-0.002,,,
3.2725,0.05,0.34,0.25,-0.012,0.002,-0.003,,,
3.2733,0.03,0.32,0.14,-0.013,-0.002,-0.001,,,
3.2742,0,0.24,0.22,-0.008,-0.002,-0.001,,,
3.275,0.01,0.17,0.2,-0.007,-0.001,-0.002,,,
3.2758,0.03,0.16,0.16,-0.007,0,-0.001,,,
3.2767,0.05,0.11,0.21,-0.004,-0.001,-0.001,,,
3.2775,0,0.11,0.22,-0.001,-0.002,0,,,
3.2783,-0.01,0.05,0.14,0,-0.003,0.001,,,
3.2792,0.01,-0.04,0.21,0.005,-0.003,0.001,,,
3.28,-0.07,-0.11,0.26,0.009,-0.004,0.002,,,
3.2808,-0.01,-0.02,-0.02,0.005,-0.001,0.002,,,
3.2817,0.14,-0.08,0.16,0.008,0.005,0.003,,,
3.2825,0.08,-0.07,0.28,0.009,0.002,0.002,,,
3.2833,-0.06,-0.07,0.04,0.008,-0.003,0.003,,,
3.2842,0.04,-0.14,-0.1,0.01,0.004,0.003,,,
3.285,0.18,-0.03,0.14,0.006,0.008,0,,,
3.2858,0.08,-0.03,0.02,0.004,0.004,0.003,,,
3.2867,0.08,0.05,-0.23,0.004,0.007,0.002,,,
3.2875,0.08,0.06,-0.45,-0.001,0.009,0,,,
3.2883,0.1,0.24,-0.36,-0.007,0.008,0.001,,,
3.2892,0.14,0.09,-0.11,-0.001,0.005,0.004,,,
3.29,0.05,0.08,-0.04,-0.003,-0.001,0,,,
3.2908,0.02,0.06,0.08,-0.002,0.002,0.001,,,
3.2917,0,0.09,0.14,0,-0.001,0.001,,,
3.2925,-0.05,0.08,0.11,-0.001,-0.003,0.001,,,
3.2933,-0.02,0.13,0.17,0,-0.002,0.002,,,
3.2942,0.04,0.07,0.26,0.005,0,0.002,,,
3.295,0.03,-0.01,0.14,0.004,-0.002,0.002,,,
3.2958,-0.01,-0.01,0.08,0.003,-0.003,0.001,,,
3.2967,-0.01,-0.03,0.17,0.005,-0.003,0.001,,,
3.2975,-0.02,0,0.16,0.004,-0.002,0.002,,,
3.2983,-0.02,0.04,0.06,0.001,-0.003,0,,,
3.2992,-0.04,0.05,0.12,0.002,-0.003,0.001,,,
3.3,-0.01,0.03,0.18,0.003,-0.002,0,,,
3.3008,0.01,0.06,0.16,0,-0.002,0,,,
3.3017,-0.01,0.08,0.13,0,-0.002,0,,,
3.3025,-0.02,0.08,0.15,0,-0.003,0,,,
3.3033,-0.02,0.08,0.21,0.001,-0.001,0,,,
3.3042,0.1,0.03,0.19,0.002,0.004,0,,,
3.305,0.11,0.03,0.11,0.003,0,-0.001,,,
3.3058,0.03,0,0.19,0.006,0,0,,,
3.3067,0.03,-0.02,0.19,0.005,0.001,-0.001,,,
3.3075,0.07,0,0.17,0.005,0.003,-0.001,,,
3.3083,0.09,-0.02,0.16,0.007,0.002,-0.001,,,
3.3092,0.06,-0.03,0.18,0.007,0.002,-0.001,,,
3.31,0.05,0,0.14,0.006,0.002,-0.001,,,
3.3108,0.09,-0.01,0.16,0.006,0.004,-0.001,,,
3.3117,0.11,-0.05,0.17,0.007,0.003,-0.001,,,
3.3125,0.08,-0.06,0.15,0.007,0.002,-0.001,,,
3.3133,0.06,-0.01,0.08,0.006,0.002,-0.001,,,
3.3142,0.07,0.04,-0.04,0.006,0.002,-0.001,,,
3.315,0.07,-0.02,0,0.008,0,-0.001,,,
3.3158,0.03,-0.05,0.16,0.006,-0.001,-0.001,,,
3.3167,0.03,-0.01,0.21,0.006,0.001,-0.002,,,
3.3175,0.04,0.01,0.2,0.004,0,-0.002,,,
3.3183,0.02,0.06,0.21,0,-0.001,-0.001,,,
3.3192,0.01,0.18,0.31,-0.008,0.004,-0.001,,,
3.32,0.16,0.29,0.55,-0.009,0.008,-0.003,,,
3.3208,0.21,0.29,0.9,-0.006,0.002,-0.003,,,
3.3217,0.08,0.26,1.03,-0.006,-0.001,-0.002,,,
3.3225,0.04,0.33,0.9,-0.011,0.001,-0.004,,,
3.3233,0.09,0.46,0.58,-0.016,0.004,-0.003,,,
3.3242,0.12,0.54,0.09,-0.015,0.002,-0.004,,,
3.325,0.15,0.44,-0.12,-0.007,-0.002,-0.005,,,
3.3258,0.18,0.2,-0.12,0.006,-0.003,-0.006,,,
3.3267,0.16,-0.01,-0.07,0.015,-0.008,-0.006,,,
3.3275,0.01,-0.06,0.12,0.02,-0.014,-0.006,,,
3.3283,-0.08,-0.02,0.26,0.024,-0.016,-0.006,,,
3.3292,-0.12,0.04,0.34,0.025,-0.025,-0.006,,,
3.33,-0.21,0.09,0.64,0.035,-0.03,-0.006,,,
3.3308,-0.21,-0.05,0.55,0.05,-0.036,-0.006,,,
3.3317,-0.3,-0.13,0.33,0.059,-0.041,-0.005,,,
3.3325,-0.24,-0.23,0.1,0.073,-0.041,-0.005,,,
3.3333,-0.15,-0.33,0.08,0.085,-0.041,-0.003,,,
3.3342,-0.11,-0.33,0.03,0.093,-0.044,-0.004,,,
3.335,-0.09,-0.34,0.05,0.1,-0.045,-0.002,,,
3.3358,-0.11,-0.31,0.16,0.105,-0.049,-0.003,,,
3.3367,-0.12,-0.21,0.3,0.109,-0.051,-0.003,,,
3.3375,-0.17,-0.14,0.36,0.114,-0.052,-0.003,,,
3.3383,-0.09,-0.14,0.52,0.119,-0.051,-0.002,,,
3.3392,-0.18,-0.23,0.53,0.127,-0.055,-0.001,,,
3.34,0,-0.23,0.55,0.133,-0.051,-0.002,,,
3.3408,-0.04,-0.34,0.51,0.139,-0.052,-0.002,,,
3.3417,0,-0.35,0.59,0.145,-0.054,0,,,
3.3425,-0.04,-0.39,0.69,0.153,-0.056,-0.001,,,
3.3433,-0.05,-0.37,0.76,0.154,-0.059,-0.001,,,
3.3442,-0.16,-0.4,0.76,0.159,-0.063,-0.001,,,
3.345,-0.17,-0.35,0.6,0.16,-0.065,-0.001,,,
3.3458,-0.14,-0.26,0.45,0.157,-0.065,-0.001,,,
3.3467,-0.22,-0.41,0.43,0.164,-0.069,0.001,,,
3.3475,-0.2,-0.49,0.41,0.166,-0.072,0.001,,,
3.3483,-0.27,-0.57,0.26,0.166,-0.073,0,,,
3.3492,-0.22,-0.57,0.3,0.164,-0.072,0.001,,,
3.35,-0.28,-0.6,0.46,0.166,-0.073,0.001,,,
3.3508,-0.3,-0.54,0.59,0.159,-0.075,0.002,,,
3.3517,-0.36,-0.48,0.59,0.151,-0.075,0.001,,,
3.3525,-0.34,-0.4,0.52,0.141,-0.072,0.002,,,
3.3533,-0.31,-0.28,0.46,0.13,-0.068,0.001,,,
3.3542,-0.31,-0.28,0.52,0.123,-0.065,0.002,,,
3.355,-0.22,-0.27,0.6,0.114,-0.06,0.001,,,
3.3558,-0.2,-0.25,0.57,0.102,-0.054,0.001,,,
3.3567,-0.15,-0.19,0.51,0.089,-0.048,0.001,,,
3.3575,-0.16,-0.11,0.53,0.076,-0.043,0.001,,,
3.3583,-0.11,0,0.58,0.063,-0.037,0,,,
3.3592,-0.09,0.1,0.73,0.049,-0.031,0.001,,,
3.36,-0.08,0.13,0.69,0.038,-0.024,0,,,
3.3608,0.01,0.17,0.78,0.024,-0.016,0.001,,,
3.3617,-0.03,0.18,0.82,0.015,-0.013,-0.001,,,
3.3625,0.03,0.18,0.8,0.008,-0.007,0,,,
3.3633,0.08,0.24,0.64,-0.002,-0.001,-0.001,,,
3.3642,0.1,0.22,0.39,-0.005,0.001,0,,,
3.365,0.02,0.17,0.33,0,-0.002,0.001,,,
3.3658,0.07,0.2,0.02,-0.003,-0.003,0,,,
3.3667,0.04,0.24,0,-0.005,0,0,,,
3.3675,0.07,0.16,0.12,-0.003,0,0.001,,,
3.3683,-0.02,0.15,0.13,-0.004,-0.004,0.001,,,
3.3692,-0.03,0.16,0.17,-0.004,-0.003,0.001,,,
3.37,-0.03,0.1,0.21,-0.001,-0.002,0.002,,,
3.3708,-0.04,0.05,0.19,0.002,-0.003,0.003,,,
3.3717,0,0.03,0.15,0.004,-0.001,0.003,,,
3.3725,-0.04,-0.05,0.13,0.006,-0.002,0.004,,,
3.3733,0.07,-0.05,0.15,0.007,0.002,0.004,,,
3.3742,0,-0.09,0.09,0.008,0.001,0.004,,,
3.375,0.07,-0.07,0.1,0.008,0.003,0.004,,,
3.3758,0.09,-0.03,0.09,0.006,0.004,0.003,,,
3.3767,0.09,0.01,0.09,0.005,0.004,0.004,,,
3.3775,0.09,0.03,0.1,0.004,0.004,0.003,,,
3.3783,0.08,0.06,0.06,0.003,0.005,0.003,,,
3.3792,0.11,0.09,0.01,0.003,0.007,0.002,,,
3.38,0.08,0.13,-0.17,0.003,0.006,0.001,,,
3.3808,-0.04,0.02,-0.5,0.008,-0.003,0.002,,,
3.3817,-0.04,-0.06,-0.52,0.009,-0.006,0.003,,,
3.3825,0.08,-0.01,-0.36,0.006,-0.001,0.001,,,
3.3833,0.06,-0.01,-0.14,0.007,0.001,0.002,,,
3.3842,-0.07,0.07,-0.07,0.005,-0.005,0,,,
3.385,-0.1,0.04,0.23,0.001,-0.006,0.003,,,
3.3858,-0.02,0.08,0.26,0.002,-0.001,0.002,,,
3.3867,-0.05,0.1,0.12,0.003,-0.004,0.001,,,
3.3875,-0.08,0.01,0.15,0.002,-0.007,0.003,,,
3.3883,-0.03,0,0.17,0.005,-0.003,0.001,,,
3.3892,0.02,0.03,0.03,0.003,-0.003,0.003,,,
3.39,0.02,-0.01,-0.01,0.004,-0.003,0.001,,,
3.3908,-0.01,0.02,0.1,0.004,-0.001,0.002,,,
3.3917,-0.01,0.08,0.11,0.001,0.001,0.001,,,
3.3925,0.06,0.09,0.16,0.003,0.003,0.002,,,
3.3933,0.01,0.08,0.12,0.006,0.002,0,,,
3.3942,0.02,0,0.02,0.007,0.004,0.001,,,
3.395,0.04,-0.06,0.1,0.009,0.007,0.001,,,
3.3958,0.13,-0.07,0.14,0.009,0.009,0.001,,,
3.3967,0.15,-0.1,0.18,0.01,0.009,0.002,,,
3.3975,0.13,-0.06,0.23,0.011,0.006,0,,,
3.3983,0.05,-0.05,0.14,0.009,0.005,0.001,,,
3.3992,0.06,-0.05,0.23,0.009,0.004,0,,,
3.4,0.01,0.01,0.32,0.008,0.003,0,,,
3.4008,0.01,0.02,0.26,0.007,0.003,0,,,
3.4017,0.07,-0.02,0.28,0.007,0.003,0,,,
3.4025,0.06,-0.01,0.23,0.007,0,-0.001,,,
3.4033,0.03,-0.04,0.1,0.01,0.001,-0.001,,,
3.4042,0.04,0,-0.02,0.011,0,-0.001,,,
3.405,0.08,0,-0.01,0.017,-0.002,-0.002,,,
3.4058,0.08,-0.1,0.19,0.023,-0.004,-0.002,,,
3.4067,0.01,-0.13,0.18,0.026,-0.007,-0.002,,,
3.4075,-0.04,-0.1,0.21,0.027,-0.009,-0.002,,,
3.4083,-0.01,-0.06,0.45,0.03,-0.008,-0.001,,,
3.4092,0.01,-0.01,0.58,0.036,-0.012,-0.002,,,
3.41,0.01,0.02,0.74,0.043,-0.016,-0.002,,,
3.4108,-0.02,-0.03,0.77,0.052,-0.019,-0.003,,,
3.4117,0.02,-0.05,0.66,0.058,-0.019,-0.003,,,
3.4125,-0.01,0.02,0.53,0.061,-0.023,-0.003,,,
3.4133,0.04,0.06,0.41,0.072,-0.027,-0.004,,,
3.4142,0.09,0.01,0.39,0.082,-0.03,-0.004,,,
3.415,0.04,0.03,0.37,0.088,-0.037,-0.005,,,
3.4158,0.01,-0.01,0.29,0.1,-0.041,-0.005,,,
3.4167,-0.01,-0.08,0.43,0.111,-0.047,-0.005,,,
3.4175,-0.09,-0.16,0.46,0.123,-0.055,-0.005,,,
3.4183,-0.16,-0.23,0.31,0.133,-0.06,-0.005,,,
3.4192,-0.13,-0.32,0.4,0.145,-0.065,-0.005,,,
3.42,-0.27,-0.46,0.38,0.157,-0.074,-0.006,,,
3.4208,-0.33,-0.52,0.36,0.164,-0.079,-0.005,,,
3.4217,-0.41,-0.59,0.45,0.175,-0.081,-0.003,,,
3.4225,-0.35,-0.68,0.42,0.181,-0.084,-0.004,,,
3.4233,-0.45,-0.67,0.21,0.181,-0.087,-0.003,,,
3.4242,-0.41,-0.58,-0.03,0.183,-0.085,-0.004,,,
3.425,-0.27,-0.56,0.08,0.183,-0.08,-0.003,,,
3.4258,-0.23,-0.62,0.34,0.188,-0.08,-0.002,,,
3.4267,-0.23,-0.62,0.48,0.188,-0.079,-0.002,,,
3.4275,-0.21,-0.57,0.42,0.184,-0.074,-0.004,,,
3.4283,-0.16,-0.43,0.38,0.174,-0.07,-0.003,,,
3.4292,-0.17,-0.32,0.29,0.169,-0.068,-0.003,,,
3.43,-0.1,-0.26,0.28,0.162,-0.065,-0.002,,,
3.4308,-0.06,-0.28,0.31,0.159,-0.061,-0.003,,,
3.4317,0,-0.31,0.53,0.154,-0.059,-0.002,,,
3.4325,-0.07,-0.35,0.66,0.152,-0.059,-0.002,,,
3.4333,-0.13,-0.31,0.57,0.142,-0.059,-0.002,,,
3.4342,-0.1,-0.16,0.63,0.133,-0.055,-0.003,,,
3.435,-0.12,-0.21,0.7,0.13,-0.055,-0.001,,,
3.4358,-0.14,-0.17,0.67,0.122,-0.055,-0.001,,,
3.4367,-0.18,-0.22,0.53,0.115,-0.053,-0.001,,,
3.4375,-0.16,-0.23,0.39,0.106,-0.05,-0.001,,,
3.4383,-0.15,-0.21,0.39,0.101,-0.047,-0.001,,,
3.4392,-0.17,-0.25,0.3,0.094,-0.045,0,,,
3.44,-0.14,-0.19,0.27,0.083,-0.042,-0.001,,,
3.4408,-0.16,-0.2,0.25,0.075,-0.037,0,,,
3.4417,-0.11,-0.09,0.51,0.064,-0.033,0,,,
3.4425,-0.15,-0.13,0.71,0.058,-0.031,0,,,
3.4433,-0.14,-0.06,0.63,0.043,-0.025,0,,,
3.4442,-0.09,0.07,0.47,0.027,-0.017,-0.001,,,
3.445,-0.02,0.15,0.45,0.015,-0.011,0.001,,,
3.4458,0.02,0.21,0.53,0.007,-0.008,0,,,
3.4467,0.05,0.2,0.57,0.001,-0.003,0.001,,,
3.4475,0.1,0.2,0.64,-0.004,0,0,,,
3.4483,0.04,0.14,0.63,-0.003,0,0.001,,,
3.4492,-0.03,0.14,0.55,-0.003,-0.003,0,,,
3.45,-0.05,0.14,0.43,-0.001,-0.003,0,,,
3.4508,0.03,0.13,0.47,-0.002,-0.001,0,,,
3.4517,0.02,0.19,0.43,-0.005,-0.002,0,,,
3.4525,0.01,0.14,0.47,0,-0.002,0.001,,,
3.4533,0.06,0.11,0.51,-0.001,-0.001,0,,,
3.4542,0.05,0.14,0.51,-0.005,-0.001,-0.001,,,
3.455,0.01,0.21,0.63,-0.004,-0.001,0,,,
3.4558,0.02,0.21,0.64,-0.004,-0.001,0,,,
3.4567,0,0.23,0.49,-0.006,-0.002,-0.001,,,
3.4575,-0.02,0.21,0.34,-0.004,-0.002,0,,,
3.4583,0.03,0.19,0.14,-0.008,-0.001,0,,,
3.4592,0.01,0.32,0.06,-0.011,-0.001,-0.001,,,
3.46,0.01,0.18,0.15,-0.004,-0.003,0.002,,,
3.4608,0,0.11,0.12,-0.003,-0.004,0.001,,,
3.4617,-0.08,0.12,0.09,-0.006,-0.006,0.001,,,
3.4625,-0.08,0.1,0.2,0.001,0,0.003,,,
3.4633,0.05,0.05,0.28,0.003,0.001,0.003,,,
3.4642,-0.07,0.05,0.08,0,-0.003,0.004,,,
3.465,-0.05,-0.01,0.13,0.009,0.002,0.006,,,
3.4658,0.08,-0.09,0.15,0.01,0.009,0.004,,,
3.4667,0.11,-0.08,-0.03,0.007,0.011,0.005,,,
3.4675,0.13,-0.07,-0.06,0.01,0.014,0.006,,,
3.4683,0.19,-0.12,-0.09,0.013,0.019,0.005,,,
3.4692,0.23,-0.04,-0.15,0.008,0.021,0.005,,,
3.47,0.2,-0.02,-0.13,0.006,0.018,0.004,,,
3.4708,0.2,-0.02,-0.01,0.008,0.019,0.005,,,
3.4717,0.18,0.11,0,0.002,0.015,0.004,,,
3.4725,0.08,0.17,-0.14,-0.002,0.008,0.003,,,
3.4733,0.04,0.07,-0.01,0,0.005,0.003,,,
3.4742,0.01,0.1,0,0,0.001,0.003,,,
3.475,-0.03,0.12,-0.02,-0.003,-0.002,0.003,,,
3.4758,-0.03,0.11,0.07,-0.001,0,0.002,,,
3.4767,0.03,0.13,0.15,-0.002,-0.002,0.003,,,
3.4775,-0.08,0.16,0.1,-0.005,-0.005,0.003,,,
3.4783,-0.07,0.09,0.17,-0.001,-0.004,0.002,,,
3.4792,-0.09,0.11,0.13,0,-0.005,0.002,,,
3.48,-0.09,0.12,0.03,0.001,-0.005,0.002,,,
3.4808,-0.09,0.05,0.04,0.003,-0.002,0.003,,,
3.4817,-0.01,0.03,-0.01,0.007,0.004,0.002,,,
3.4825,0.04,0,-0.07,0.008,0.008,0.002,,,
3.4833,0.1,-0.06,-0.02,0.012,0.011,0.002,,,
3.4842,0.11,-0.07,0.04,0.015,0.016,0.003,,,
3.485,0.14,-0.04,-0.11,0.017,0.018,0.002,,,
3.4858,0.15,-0.07,-0.22,0.017,0.019,0.002,,,
3.4867,0.15,-0.13,-0.05,0.018,0.019,0.002,,,
3.4875,0.15,-0.13,0.17,0.019,0.021,0.002,,,
3.4883,0.2,-0.12,0.23,0.017,0.02,0.002,,,
3.4892,0.15,-0.09,0.23,0.017,0.015,0.002,,,
3.49,0.11,-0.1,0.29,0.017,0.015,0.002,,,
3.4908,0.08,-0.02,0.21,0.013,0.01,0.001,,,
3.4917,0.05,0,0.12,0.01,0.007,0.001,,,
3.4925,0.05,-0.03,0.21,0.009,0.004,0,,,
3.4933,0.02,-0.01,0.22,0.007,0.001,0,,,
3.4942,-0.02,0,0.18,0.005,-0.003,0,,,
3.495,-0.05,0.02,0.18,0.005,-0.004,0,,,
3.4958,-0.05,0.03,0.19,0.004,-0.004,0,,,
3.4967,-0.07,0.08,0.11,0.002,-0.005,-0.002,,,
3.4975,-0.04,0,0.16,0.004,-0.004,-0.001,,,
3.4983,-0.01,0,0.16,0.005,-0.002,-0.002,,,
3.4992,0,-0.03,0.15,0.005,-0.002,-0.002,,,
3.5,-0.02,0.02,0.19,0.003,-0.002,-0.002,,,
3.5008,0.01,0.03,0.32,0.002,0.002,-0.002,,,
3.5017,0.07,0.14,0.49,-0.002,0.004,-0.002,,,
3.5025,0.13,0.15,0.67,-0.001,0.006,-0.003,,,
3.5033,0.16,0.18,0.96,0,0.009,-0.003,,,
3.5042,0.23,0.3,0.86,-0.005,0.011,-0.003,,,
3.505,0.24,0.35,0.61,-0.008,0.011,-0.003,,,
3.5058,0.28,0.39,0.45,-0.011,0.013,-0.003,,,
3.5067,0.3,0.38,0.37,-0.011,0.015,-0.004,,,
3.5075,0.3,0.34,0.27,-0.008,0.015,-0.005,,,
3.5083,0.25,0.37,0.1,-0.005,0.012,-0.006,,,
3.5092,0.11,0.26,-0.16,0.005,0.005,-0.005,,,
3.51,-0.01,0.11,-0.11,0.015,-0.005,-0.005,,,
3.5108,-0.04,0.06,0.09,0.022,-0.007,-0.006,,,
3.5117,-0.03,-0.04,0.28,0.035,-0.008,-0.005,,,
3.5125,-0.12,-0.16,0.36,0.047,-0.017,-0.005,,,
3.5133,-0.2,-0.23,0.43,0.055,-0.024,-0.004,,,
3.5142,-0.2,-0.24,0.56,0.068,-0.028,-0.006,,,
3.515,-0.25,-0.31,0.58,0.083,-0.035,-0.003,,,
3.5158,-0.31,-0.34,0.17,0.092,-0.044,-0.005,,,
3.5167,-0.26,-0.32,0.2,0.102,-0.048,-0.004,,,
3.5175,-0.17,-0.4,0.22,0.117,-0.047,-0.003,,,
3.5183,-0.12,-0.39,0.18,0.126,-0.049,-0.004,,,
3.5192,-0.19,-0.4,0.08,0.132,-0.054,-0.003,,,
3.52,-0.23,-0.37,0.19,0.143,-0.057,-0.003,,,
3.5208,-0.16,-0.33,0.09,0.147,-0.055,-0.004,,,
3.5217,-0.12,-0.29,0.16,0.154,-0.055,-0.004,,,
3.5225,-0.14,-0.39,0.24,0.165,-0.057,-0.002,,,
3.5233,-0.17,-0.48,0.52,0.175,-0.061,-0.004,,,
3.5242,-0.09,-0.54,0.53,0.178,-0.058,-0.004,,,
3.525,-0.11,-0.52,0.58,0.182,-0.059,-0.005,,,
3.5258,-0.16,-0.54,0.64,0.186,-0.062,-0.003,,,
3.5267,-0.06,-0.43,0.77,0.186,-0.06,-0.005,,,
3.5275,-0.07,-0.48,0.72,0.186,-0.06,-0.004,,,
3.5283,-0.11,-0.45,0.68,0.187,-0.063,-0.004,,,
3.5292,-0.13,-0.5,0.41,0.185,-0.065,-0.004,,,
3.53,-0.15,-0.44,0.27,0.179,-0.066,-0.004,,,
3.5308,-0.12,-0.41,0.28,0.181,-0.065,-0.004,,,
3.5317,-0.14,-0.5,0.27,0.18,-0.066,-0.003,,,
3.5325,-0.24,-0.56,0.32,0.177,-0.071,-0.004,,,
3.5333,-0.33,-0.6,0.37,0.173,-0.073,-0.003,,,
3.5342,-0.3,-0.51,0.6,0.167,-0.071,-0.004,,,
3.535,-0.32,-0.55,0.61,0.16,-0.071,-0.002,,,
3.5358,-0.33,-0.45,0.77,0.151,-0.071,-0.002,,,
3.5367,-0.32,-0.47,0.61,0.139,-0.069,-0.002,,,
3.5375,-0.26,-0.29,0.47,0.121,-0.063,-0.003,,,
3.5383,-0.21,-0.21,0.31,0.109,-0.056,-0.001,,,
3.5392,-0.14,-0.14,0.45,0.098,-0.049,0,,,
3.54,-0.1,-0.19,0.43,0.088,-0.043,-0.001,,,
3.5408,-0.11,-0.12,0.6,0.073,-0.038,-0.001,,,
3.5417,-0.12,-0.11,0.61,0.061,-0.031,-0.001,,,
3.5425,-0.1,0.02,0.64,0.044,-0.026,-0.002,,,
3.5433,-0.06,0.11,0.57,0.029,-0.02,-0.001,,,
3.5442,0.03,0.2,0.69,0.017,-0.012,0,,,
3.545,0.08,0.18,0.7,0.005,-0.004,0,,,
3.5458,0.09,0.24,0.78,-0.003,-0.001,-0.001,,,
3.5467,0.07,0.25,0.76,-0.007,0,0,,,
3.5475,0.05,0.31,0.64,-0.008,0.001,-0.001,,,
3.5483,0.04,0.23,0.54,-0.005,0,0,,,
3.5492,0.01,0.17,0.37,-0.003,-0.001,-0.001,,,
3.55,-0.03,0.18,-0.05,-0.007,-0.001,-0.001,,,
3.5508,0.06,0.27,-0.05,-0.006,0.002,0,,,
3.5517,0.12,0.16,0.11,-0.001,0.001,0.001,,,
3.5525,0.05,0.08,0.11,0,-0.003,0.001,,,
3.5533,-0.03,0.08,0.09,-0.001,0.002,0,,,
3.5542,0.04,0.06,0.3,0.004,0.004,0.002,,,
3.555,0,0.06,0.21,0.003,0.004,0.002,,,
3.5558,0.03,-0.04,0.14,0.008,0.008,0.003,,,
3.5567,0.1,-0.07,0.11,0.011,0.01,0.003,,,
3.5575,0.12,-0.07,0.08,0.009,0.01,0.004,,,
3.5583,0.11,-0.07,0.01,0.009,0.012,0.004,,,
3.5592,0.13,-0.11,0.04,0.01,0.014,0.004,,,
3.56,0.16,-0.01,-0.01,0.008,0.014,0.003,,,
3.5608,0.13,-0.01,-0.03,0.006,0.013,0.004,,,
3.5617,0.09,0.03,-0.03,0.006,0.01,0.003,,,
3.5625,0.08,0.06,-0.02,0.004,0.01,0.002,,,
3.5633,0.1,0.08,-0.1,0.002,0.009,0.002,,,
